monthly_upi_transactions,avg_transaction_amount,bill_payment_timeliness,mobile_recharge_frequency,age,location_type,income,occupation,savings_ratio,spending_ratio,payment_delay_days,loan_repaid,digital_activity_score,financial_discipline_score,is_underbanked
21,229.18,0.931,8,56,urban,28192.45,artisan,0.033,0.536,0,1,4.81278,0.48200000000000004,0
13,696.74,0.75,3,46,rural,36290.22,artisan,0.462,0.909,18,0,9.05762,0.606,0
19,704.55,0.762,7,32,urban,58635.54,farmer,0.01,0.932,23,0,13.386449999999998,0.386,0
18,607.91,0.948,4,60,rural,28436.7,student,0.195,0.625,0,1,10.94238,0.5715,0
25,731.55,0.966,8,25,urban,61745.61,student,0.205,0.799,1,0,18.28875,0.5855,0
22,917.15,0.875,7,38,rural,32585.08,artisan,0.175,0.617,4,0,20.1773,0.525,0
21,1486.23,1.0,12,56,rural,25524.26,farmer,0.383,0.413,8,1,31.21083,0.6915,0
24,748.98,0.832,9,36,urban,33161.95,student,0.332,0.577,9,0,17.97552,0.582,0
30,393.73,0.879,8,40,urban,12906.88,gig_worker,0.01,0.811,1,0,11.811900000000001,0.4445,0
21,315.55,0.868,14,28,rural,6000.0,gig_worker,0.441,0.862,17,0,6.62655,0.6545,0
22,1009.56,0.946,3,28,urban,40514.36,driver,0.471,0.679,12,1,22.21032,0.7084999999999999,0
17,1258.69,0.824,5,41,urban,40788.64,student,0.322,0.557,16,0,21.39773,0.573,0
14,525.52,0.636,3,53,urban,46616.31,small_business,0.168,0.477,8,0,7.357279999999999,0.402,0
18,1308.27,0.888,11,57,urban,40425.46,driver,0.253,0.623,17,0,23.54886,0.5705,0
13,1934.34,0.544,12,41,rural,83926.56,artisan,0.177,0.636,7,0,25.14642,0.36050000000000004,0
20,1509.71,0.974,9,20,urban,45031.37,nurse,0.367,0.635,0,0,30.194200000000002,0.6705,0
22,487.76,1.0,1,39,rural,17223.67,gig_worker,0.01,0.469,15,0,10.73072,0.505,0
